Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-4971.5,-2420.0,-2551.5,28.40601226488749,29.06773747868008,-672.5,-620.0,-574.0,-553.5,-564.0,-716.5,-513.5,-757.5
-6390.5,-2874.5,-3516.0,27.7141034550137,28.353673394521078,-818.5,-539.0,-826.0,-691.0,-1264.0,-989.5,-640.5,-622.0
-6103.0,-3441.5,-2661.5,27.37303155263265,27.882910100618997,-943.5,-839.0,-843.0,-816.0,-755.0,-801.0,-530.5,-575.0
-5989.0,-3306.0,-2683.0,27.719628580411275,27.410469105508593,-1120.5,-479.5,-958.0,-748.0,-642.5,-730.5,-728.0,-582.0
-5795.5,-3195.5,-2600.0,27.380366433991327,26.852607374721103,-1072.5,-716.5,-701.5,-705.0,-583.0,-699.0,-528.5,-789.5
-5893.5,-2894.5,-2999.0,28.102205665906272,27.386656585004594,-659.0,-430.5,-1050.5,-754.5,-844.5,-582.0,-971.5,-601.0
-5716.0,-3111.0,-2605.0,27.689260938432483,26.175780301623874,-784.5,-496.5,-1024.0,-806.0,-707.0,-663.0,-393.0,-842.0
-6264.5,-3422.0,-2842.5,27.09647538397047,26.745062372419568,-803.0,-926.0,-1025.0,-668.0,-855.0,-683.5,-580.5,-723.5
-5297.0,-2644.5,-2652.5,27.1623216814465,26.519874458842807,-683.5,-677.5,-613.0,-670.5,-563.0,-505.5,-952.0,-632.0
-5451.0,-2634.5,-2816.5,27.3292166656918,26.64678152932061,-540.5,-666.5,-688.0,-739.5,-975.5,-521.5,-520.5,-799.0
-5583.0,-2750.0,-2833.0,25.942132518026565,25.89632874329885,-592.0,-922.5,-646.0,-589.5,-922.5,-638.5,-494.0,-778.0
-5392.5,-2774.0,-2618.5,27.946230816841126,24.963592500156828,-676.5,-483.5,-927.5,-686.5,-838.0,-691.5,-579.5,-509.5
-7130.0,-3614.0,-3516.0,25.63315900961558,26.17017424636417,-1228.0,-826.5,-716.0,-843.5,-918.0,-1066.0,-566.5,-965.5
-5445.0,-3212.5,-2232.5,26.572879309124417,25.25487257639567,-897.0,-716.5,-922.5,-676.5,-589.0,-569.0,-555.5,-519.0
-5681.0,-2942.0,-2739.0,26.653100532955595,25.905600696139864,-844.5,-893.5,-678.0,-526.0,-719.0,-983.0,-471.5,-565.5
-5664.0,-2765.5,-2898.5,25.78370043701596,25.326969901720684,-832.0,-540.5,-770.0,-623.0,-626.0,-765.5,-893.0,-614.0
-5749.0,-3336.0,-2413.0,25.34096384578281,26.595320586363474,-1016.0,-628.0,-944.0,-748.0,-594.5,-667.0,-479.5,-672.0
-5000.0,-2808.0,-2192.0,26.66855567826165,26.38582764863968,-794.0,-569.0,-992.5,-452.5,-570.0,-444.5,-578.0,-599.5
-5088.5,-2245.0,-2843.5,26.43526640203264,25.25358875857459,-609.0,-355.0,-562.0,-719.0,-730.0,-791.0,-684.0,-638.5
