Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-2210.5,-1170.5,-1040.0,3.4154214097393885,3.2689356635014217,-388.0,-218.5,-321.5,-242.5,-291.0,-313.5,-191.5,-244.0
-2133.5,-1005.0,-1128.5,3.3467548890246284,3.2287722839249504,-338.5,-204.0,-216.0,-246.5,-408.5,-271.5,-216.5,-232.0
-2497.5,-1140.0,-1357.5,3.415249090062247,3.2392643521229427,-405.0,-186.5,-295.5,-253.0,-419.5,-436.0,-214.5,-287.5
-2543.5,-1333.5,-1210.0,3.429041859176424,3.302244605620702,-471.5,-200.5,-310.0,-351.5,-383.5,-324.0,-207.0,-295.5
-2375.5,-1274.5,-1101.0,3.2660247736506993,3.2199258231454424,-355.0,-230.0,-338.0,-351.5,-302.0,-312.5,-243.5,-243.0
-2250.0,-1195.5,-1054.5,3.3787292841407988,3.2851979639795093,-385.0,-222.5,-233.5,-354.5,-340.5,-302.5,-223.5,-188.0
-2350.5,-1263.0,-1087.5,3.4476212759812674,3.1277219467692907,-392.0,-308.0,-294.0,-269.0,-299.0,-278.0,-238.0,-272.5
-2300.0,-1287.0,-1013.0,3.402232023411327,3.208207862244712,-403.5,-303.0,-316.5,-264.0,-291.0,-252.0,-195.0,-275.0
-2472.5,-1379.5,-1093.0,3.377077225512928,3.2726883659760158,-515.0,-223.5,-330.5,-310.5,-286.0,-260.0,-236.5,-310.5
-2100.5,-1075.0,-1025.5,3.5822964042425154,3.1346526665820016,-379.5,-199.0,-259.0,-237.5,-336.5,-209.5,-240.5,-239.0
-2124.0,-992.5,-1131.5,3.375997402270635,3.080238050222397,-276.0,-211.5,-274.0,-231.0,-313.0,-299.0,-245.0,-274.5
-2307.0,-1161.0,-1146.0,3.434023639228609,3.149249807331297,-396.5,-174.0,-253.0,-337.5,-279.5,-318.5,-231.0,-317.0
-2231.5,-1158.5,-1073.0,3.470451945397589,3.04355167945226,-359.0,-204.0,-314.5,-281.0,-305.5,-263.0,-217.5,-287.0
-2312.5,-1154.0,-1158.5,3.4241012003686695,3.0446556866168977,-458.5,-211.5,-248.5,-235.5,-306.0,-400.0,-250.0,-202.5
-2313.5,-1134.0,-1179.5,3.4008100701702966,3.0956023030810886,-399.5,-288.5,-229.5,-216.5,-281.0,-350.5,-217.0,-331.0
-2353.0,-1264.5,-1088.5,3.538307695587476,2.943559208512306,-418.5,-251.0,-307.5,-287.5,-312.5,-322.0,-204.0,-250.0
-2274.0,-1128.5,-1145.5,3.4433775474627812,2.997548184129927,-447.0,-201.0,-274.5,-206.0,-317.0,-304.0,-258.0,-266.5
-2286.0,-1182.0,-1104.0,3.4449148999320136,3.0026224265495935,-382.0,-222.0,-297.5,-280.5,-283.5,-264.5,-260.5,-295.5
-2195.0,-1201.5,-993.5,3.448909295267529,3.2254125581847295,-402.5,-222.5,-260.5,-316.0,-297.0,-266.0,-205.0,-225.5
-2274.0,-1214.5,-1059.5,3.555905306008127,3.0795770118633907,-354.0,-236.5,-293.5,-330.5,-284.0,-304.0,-208.5,-263.0
-2227.5,-1110.0,-1117.5,3.4011655032634733,3.2230835762288836,-353.0,-239.5,-251.5,-266.0,-366.5,-273.0,-210.0,-268.0
-2113.5,-1096.5,-1017.0,3.4563733537991843,3.2233039491706426,-325.5,-157.5,-306.5,-307.0,-281.5,-313.5,-185.5,-236.5
-2155.5,-1124.0,-1031.5,3.341826637254821,3.3186957524882423,-351.0,-242.0,-286.0,-245.0,-310.0,-266.0,-242.0,-213.5
-2117.5,-1124.5,-993.0,3.3750012738837136,3.2852137363619276,-276.5,-245.0,-325.0,-278.0,-320.0,-250.5,-172.5,-250.0
-2157.5,-1097.5,-1060.0,3.3143073161443075,3.148846604426702,-319.0,-232.0,-255.5,-291.0,-319.0,-289.0,-201.0,-251.0
-2268.5,-1122.0,-1146.5,3.3402797589699427,3.1734279973639383,-373.0,-221.0,-303.5,-224.5,-349.5,-284.0,-219.5,-293.5
-2152.0,-1169.0,-983.0,3.3633088641696505,3.1452359709474775,-369.5,-222.0,-300.5,-277.0,-256.0,-247.5,-222.5,-257.0
-2466.0,-1343.5,-1122.5,3.3035224616527556,3.258673628833559,-427.0,-289.5,-290.5,-336.5,-346.0,-298.0,-265.0,-213.5
-2251.5,-1107.0,-1144.5,3.412842905190256,3.303731820649571,-344.5,-236.5,-266.5,-259.5,-327.5,-345.5,-230.5,-241.0
-2133.5,-1199.0,-934.5,3.4146095981200535,3.141843249400457,-397.5,-177.0,-358.5,-266.0,-269.5,-258.5,-175.0,-231.5
-2280.5,-1167.5,-1113.0,3.371785005264812,3.150592330429289,-421.5,-237.0,-255.0,-254.0,-272.0,-313.0,-271.5,-256.5
-1997.5,-1081.5,-916.0,3.364163972934087,3.124504545662138,-304.5,-221.0,-244.5,-311.5,-254.0,-286.0,-173.5,-202.5
-2587.5,-1343.0,-1244.5,3.328410025106536,3.040621678696738,-393.5,-258.0,-388.5,-303.0,-322.5,-296.0,-270.0,-356.0
-1966.5,-1051.0,-915.5,3.3092519799868265,3.0426626682281492,-305.0,-216.0,-310.0,-220.0,-267.0,-259.0,-179.0,-210.5
-2243.5,-1165.0,-1078.5,3.3486099077595606,3.1413950184981028,-332.0,-216.5,-343.5,-273.0,-287.0,-321.0,-206.5,-264.0
-2275.5,-1182.0,-1093.5,3.316181272930569,3.0648939672443603,-386.5,-250.5,-288.0,-257.0,-303.5,-336.5,-237.5,-216.0
-2356.5,-1072.0,-1284.5,3.3201578713125652,3.0370965566900043,-327.0,-233.0,-248.0,-264.0,-321.0,-365.0,-281.5,-317.0
-2366.5,-1162.5,-1204.0,3.2122730175654093,3.137481204337544,-295.0,-284.0,-281.5,-302.0,-304.5,-297.0,-292.5,-310.0
-2204.0,-1186.0,-1018.0,3.3376407060358257,3.123274479640855,-347.0,-199.0,-271.5,-368.5,-274.0,-298.0,-214.0,-232.0
-2313.5,-1155.5,-1158.0,3.2978858255677754,3.1229686131079992,-307.5,-186.0,-311.0,-351.0,-307.0,-309.5,-237.0,-304.5
-2187.0,-1154.0,-1033.0,3.319275458653768,3.118901984228028,-348.0,-262.5,-281.0,-262.5,-265.0,-285.5,-234.5,-248.0
